Riding,Majority,Party,IncumbentElected,NewRiding,Winnipeg,Gender_elected,Gender_incumbent,PC,NDP,Lib,Green,Ind
Aggassiz,yes,PC,1,0,other,F,F,,,,,
Assiniboia,no,PC,1,0,Winnipeg,M,M,,,,,
Borderland,yes,PC,0,1,other,M,M,4885,1226,287,250,739
Brandon East,yes,PC,1,0,other,M,M,3272,2311,799,,
Brandon West,yes,PC,1,0,other,M,M,4307,1747,564,744,
Burrows,no,NDP,0,1,Winnipeg,M,M,1680,2536,1170,,1020
Concordia,yes,NDP,1,0,Winnipeg,M,M,2290,4284,605,,
Dauphin,yes,PC,1,0,other,M,M,,,,,
Dawson Trail,yes,PC,1,0,other,M,M,,,,,
Elmwood,no,NDP,1,0,Winnipeg,M,M,,,,,
Flin Flon,yes,NDP,1,0,other,M,M,,,,,
Fort Garry,no,NDP,0,1,Winnipeg,M,M,,,,,
Fort Richmond,no,PC,1,0,Winnipeg,F,F,,,,,
Fort Rouge,yes,NDP,1,0,Winnipeg,M,M,,,,,
Fort Whyte,yes,PC,1,0,Winnipeg,M,M,5609,1755,1729,665,
Interlake-Gimli,yes,PC,1,0,other,M,M,6199,3472,400,473,
Keewatinook,yes,NDP,0,0,other,M,M,,,,,
Kildonan-River East,yes,PC,1,0,Winnipeg,F,F,5514,3673,1602,,
Kirkfield Park,yes,PC,1,0,Winnipeg,M,M,,,,,
La Verendrye,yes,PC,1,0,other,M,M,5305,1052,929,,
Lac du Bonnet,yes,PC,1,0,other,M,M,6170,1793,1373,,
Lagimodière,yes,PC,1,1,Winnipeg,M,M,5182,2789,1481,557,
Lakeside,yes,PC,1,0,other,M,M,6394,2054,854,,
McPhillips,no,PC,1,0,Winnipeg,M,M,3307,3202,1476,406,237
Midland,yes,PC,1,0,other,M,M,,,,,
Morden-Winkler,yes,PC,1,0,other,M,M,6096,365,277,769,
Notre Dame,yes,NDP,0,1,Winnipeg,F,F,789,3361,702,263,32
Point Douglas,yes,NDP,1,0,Winnipeg,F,F,757,3002,565,398,66
Portage la Prairie,yes,PC,1,0,other,M,M,4489,1521,843,,
Radisson,no,PC,1,0,Winnipeg,M,M,,,,,
Red River North,yes,PC,1,0,other,M,M,,,,,
Riding Mountain,yes,PC,1,0,other,M,M,6117,1961,454,723,
Riel,no,PC,1,0,Winnipeg,F,F,4472,3554,1352,591,
River Heights,yes,LIB,1,0,Winnipeg,M,M,2276,1346,5038,661,
Roblin,yes,PC,1,0,Winnipeg,F,F,6075,1728,1886,1209,
Rossmere,no,PC,1,1,Winnipeg,M,M,,,,,
Seine River,no,PC,1,0,Winnipeg,F,F,,,,,
Selkirk,yes,PC,1,0,other,M,M,4763,3319,480,713,
Southdale,no,PC,0,1,Winnipeg,F,,4486,3955,1422,584,
Springfield-Ritchot,yes,PC,1,0,other,M,M,5661,1976,813,1065,
Spruce Woods,no,PC,1,0,other,M,M,,,,,
St. Boniface,no,LIB,1,0,Winnipeg,M,M,1889,2939,4077,840,76
St. James,no,NDP,0,0,Winnipeg,M,,,,,,
St. Johns,yes,NDP,1,0,Winnipeg,F,F,,,,,
St. Vital,no,NDP,-1,0,Winnipeg,F,F,,,,,
Steinbach,yes,PC,1,0,other,M,M,6237,614,369,417,
Swan River,yes,PC,1,0,other,M,M,5529,2064,417,,
The Maples,no,NDP,0,0,Winnipeg,M,,,,,,
The Pas-Kameesak,yes,NDP,0,1,other,F,,,,,,
Thompson,yes,NDP,-1,0,other,F,M,,,,,
Transcona,no,NDP,1,0,Winnipeg,M,M,3914,4029,716,,
Turtle Mountain,yes,PC,0,0,Winnipeg,M,M,,,,,
Tuxedo,no,PC,1,0,Winnipeg,F,F,,,,,
Tyndall Park,yes,LIB,-1,0,Winnipeg,F,M,,,,,
Union Station,yes,NDP,0,1,Winnipeg,F,,,,,,
Waverly,yes,PC,1,0,Winnipeg,M,M,3265,1865,1070,325,
Wolseley,no,NDP,0,1,Winnipeg,F,,,,,,